TeamName,Conference,Rank,WINS,LOSSES,Win %,HOME,ROAD,L10,Streak,PPG,OPP PPG,Diff
Thunder,West,1,53,15,0.779,29-6,24-8,9-1,W 8,118.5,107.7,10.8
Pistons,East,1,48,18,0.727,25-8,22-10,6-4,W 3,117.4,109.6,7.7
Spurs,West,2,49,18,0.731,26-7,22-11,8-2,W 1,118.8,111.8,7.0
Celtics,East,2,44,23,0.657,22-10,22-13,6-4,W 1,114.2,107.0,7.2
Lakers,West,3,42,25,0.627,23-12,19-13,8-2,W 5,116.5,115.3,1.2
Knicks,East,3,43,25,0.632,23-9,19-16,6-4,W 2,117.0,110.7,6.3
Cavaliers,East,4,41,26,0.612,22-12,19-14,5-5,W 1,119.1,114.6,4.4
Rockets,West,4,41,25,0.621,23-8,18-17,6-4,W 1,114.1,109.9,4.2
Nuggets,West,5,41,27,0.603,18-13,23-14,5-5,L 1,120.7,116.7,4.0
Magic,East,5,38,28,0.576,21-11,16-15,8-2,W 7,115.7,114.1,1.6
Timberwolves,West,6,41,27,0.603,22-12,19-15,6-4,L 1,118.5,115.2,3.3
Raptors,East,6,37,29,0.561,18-16,19-13,4-6,W 1,113.5,111.9,1.6
Suns,West,7,39,28,0.582,22-13,17-15,6-4,L 1,112.5,111.2,1.4
Heat,East,7,38,30,0.559,23-12,15-18,7-3,L 1,120.4,116.6,3.8
Hawks,East,8,36,31,0.537,18-16,18-15,9-1,W 9,117.7,116.6,1.1
Clippers,West,8,34,33,0.507,19-14,15-19,7-3,L 1,113.4,112.6,0.9
Warriors,West,9,32,34,0.485,19-15,13-19,3-7,L 4,115.2,114.4,0.8
76ers,East,9,36,31,0.537,19-16,17-15,5-5,W 1,115.7,116.2,-0.5
Trail Blazers,West,10,32,35,0.478,18-16,14-19,5-5,W 1,115.3,117.7,-2.4
Hornets,East,10,34,34,0.5,14-17,20-17,7-3,L 1,115.5,112.3,3.2
Grizzlies,West,11,23,43,0.348,11-20,11-22,2-8,L 7,115.7,118.4,-2.7
Bucks,East,11,27,39,0.409,15-18,12-21,2-8,L 4,110.8,116.0,-5.2
Bulls,East,12,27,40,0.403,16-18,11-22,3-7,L 2,115.7,120.2,-4.5
Mavericks,West,12,22,45,0.328,14-20,8-24,1-9,L 1,112.9,118.0,-5.1
Pelicans,West,13,22,46,0.324,13-21,9-25,6-4,L 1,115.4,119.8,-4.4
Nets,East,13,17,50,0.254,9-23,8-27,2-8,L 3,106.7,115.6,-8.9
Wizards,East,14,16,50,0.242,11-22,5-28,0-10,L 11,112.7,123.7,-11.0
Jazz,West,14,20,47,0.299,12-22,8-25,2-8,L 2,117.4,125.0,-7.7
Kings,West,15,17,51,0.25,11-23,6-28,5-5,W 1,110.8,120.7,-10.0
Pacers,East,15,15,52,0.224,10-24,5-28,0-10,L 12,111.0,119.7,-8.7
