TEAM_NAME,GP,W,L,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,TS_PCT,PACE
Oklahoma City Thunder,67,52,15,117.0,106.3,10.7,0.595,0.598,100.45
Detroit Pistons,66,48,18,116.8,108.8,8.0,0.626,0.578,100.12
Boston Celtics,67,44,23,119.6,111.7,7.9,0.582,0.578,95.38
San Antonio Spurs,67,49,18,117.7,110.5,7.2,0.639,0.592,100.91
New York Knicks,68,43,25,118.2,111.8,6.4,0.643,0.586,98.53
Cleveland Cavaliers,67,41,26,117.7,113.2,4.4,0.655,0.591,100.75
Houston Rockets,66,41,25,116.4,112.2,4.2,0.581,0.571,96.76
Denver Nuggets,68,41,27,120.3,116.2,4.1,0.658,0.612,99.15
Miami Heat,68,38,30,114.8,111.3,3.5,0.658,0.575,104.67
Charlotte Hornets,68,34,34,117.4,114.2,3.3,0.648,0.585,97.93
Minnesota Timberwolves,67,41,26,116.3,113.0,3.2,0.613,0.597,101.5
Toronto Raptors,66,37,29,113.8,112.1,1.6,0.684,0.573,99.19
Orlando Magic,66,38,28,114.4,112.9,1.5,0.646,0.576,100.15
Phoenix Suns,67,39,28,114.0,112.8,1.3,0.603,0.569,98.18
Los Angeles Lakers,67,42,25,116.9,115.9,1.1,0.61,0.607,99.41
Atlanta Hawks,67,36,31,114.2,113.2,1.0,0.701,0.581,102.76
LA Clippers,67,34,33,116.2,115.3,0.8,0.588,0.602,97.17
Golden State Warriors,66,32,34,114.1,113.3,0.8,0.709,0.582,100.33
Philadelphia 76ers,67,36,31,114.3,114.8,-0.5,0.592,0.572,99.99
Portland Trail Blazers,67,32,35,112.5,115.1,-2.6,0.609,0.568,102.01
Memphis Grizzlies,66,23,43,113.7,116.5,-2.8,0.683,0.573,101.42
New Orleans Pelicans,68,22,46,113.2,117.5,-4.3,0.596,0.567,101.21
Chicago Bulls,67,27,40,112.3,116.9,-4.6,0.683,0.581,102.45
Dallas Mavericks,67,22,45,109.6,114.4,-4.9,0.598,0.563,102.32
Milwaukee Bucks,66,27,39,112.1,117.1,-5.0,0.631,0.588,98.48
Utah Jazz,67,20,47,113.3,120.7,-7.4,0.702,0.578,102.65
Indiana Pacers,67,15,52,108.5,117.0,-8.5,0.658,0.557,101.86
Brooklyn Nets,67,17,50,109.4,118.2,-8.8,0.675,0.563,97.2
Sacramento Kings,68,17,51,109.9,119.5,-9.6,0.611,0.558,100.41
Washington Wizards,66,16,50,109.5,120.4,-10.9,0.605,0.564,102.3
